,Cities,Countries,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (km/h)
121,ilulissat,gl,69.22,-51.1,4,64,90,0.5
122,horki,by,54.29,30.98,2.83,96,15,1.428
123,yerofey pavlovich,ru,53.97,121.97,7.83,45,36,3.28
124,butaritari,ki,3.07,172.79,28.42,72,100,6.156
125,bakchar,ru,57.02,82.07,6.79,93,100,2.67
126,tromso,no,69.65,18.96,3,86,75,8.7
127,kedrovyy,ru,56.17,91.82,10,86,40,6
128,talnakh,ru,69.49,88.39,0,80,75,5
129,rosetta,eg,31.4,30.42,21,83,0,1.5
130,novodugino,ru,55.63,34.3,3.04,95,1,2.804
131,cooma,au,-36.24,149.13,15,54,27,3.6
132,margate,za,-30.86,30.37,15.83,85,100,0.37
133,cluses,fr,46.06,6.58,13,100,90,1
134,miedzychod,pl,52.6,15.9,7.22,93,75,5.7
135,turayf,sa,31.68,38.65,17,25,0,1.5
136,fort frances,ca,48.61,-93.4,6.67,75,90,3.6
137,souillac,mu,-20.52,57.52,23.33,94,40,3.1
138,hukuntsi,bw,-23.98,21.76,16.9,20,26,2.55
139,nemuro,jp,43.32,145.57,15,87,75,3.6
140,sitka,us,37.17,-99.65,15,96,93,10.73
141,aban,ru,56.67,96.06,6.12,86,100,5.56
142,balikpapan,id,-1.24,116.86,29.43,60,38,2.06
143,pedernales,do,18.04,-71.74,28.54,75,100,2.69
144,maniitsoq,gl,65.42,-52.9,7.13,53,100,5.77
146,mogadishu,so,2.04,45.34,24.73,88,0,2.91
147,altoona,us,40.52,-78.39,9,75,1,2.1
148,neftcala,az,39.37,49.25,17.47,70,0,1.81
149,carnarvon,au,-24.87,113.63,22,53,40,7.7
150,yulara,au,-25.24,130.99,35,9,0,5.1
151,ancud,cl,-41.87,-73.83,5,93,75,1.5
152,karratha,au,-20.74,116.85,33.55,13,0,1.7
153,krasnovishersk,ru,60.4,57.08,11.1,94,100,4.93
155,sivaki,ru,52.63,126.75,8.23,44,57,2.91
156,grand gaube,mu,-20.01,57.66,23.33,94,40,3.1
159,yellowknife,ca,62.45,-114.38,6,93,90,6.2
160,edson,ca,53.59,-116.44,8,63,90,2.6
161,kaitangata,nz,-46.28,169.85,10.56,43,44,9.39
162,chuy,uy,-33.69,-53.46,14.65,98,100,3.4
163,birjand,ir,32.86,59.22,13,32,0,3.1
164,guerrero negro,mx,27.97,-114.04,20.21,76,0,5.54
165,harrison,us,39.26,-84.82,15,66,1,2.1
166,banda aceh,id,5.56,95.32,26.58,80,100,4.65
167,panzhihua,cn,26.59,101.72,22.71,74,72,0.45
168,nileshwar,in,12.25,75.1,26,94,20,1
169,isangel,vu,-19.55,169.27,27,54,100,6.2
170,taoudenni,ml,22.68,-3.98,27.8,15,0,4.28
171,maumere,id,-8.63,122.22,27.93,55,0,3.03
172,tuy hoa,vn,13.08,109.3,27.13,77,18,1.027
173,beipiao,cn,41.8,120.76,11.52,26,0,6.07
174,suntar,ru,62.16,117.65,0.41,90,100,2.63
176,vila velha,br,-3.71,-38.6,27,74,75,6.2
177,along,in,28.17,94.8,17.18,85,67,1.36
178,teya,ru,60.37,92.63,1.71,72,95,4.75
179,cairns,au,-16.92,145.77,28.89,47,40,10.3
180,norman wells,ca,65.28,-126.83,7,82,20,2.6
181,lebu,cl,-37.62,-73.65,10.29,72,8,8.33
182,barsovo,ru,61.17,73.17,4,86,0,2
183,boras,se,57.72,12.94,0,92,0,3.1
185,khatanga,ru,71.98,102.47,-4.47,74,100,7.63
186,fethiye,tr,36.62,29.12,24,78,75,3.6
188,upernavik,gl,72.79,-56.15,0.53,73,100,1.673
189,geraldton,au,-28.77,114.6,20,64,75,7.7
190,boyolangu,id,-8.09,111.9,29.94,36,0,5.34
191,gharghoda,in,22.18,83.36,27.29,69,6,1.613
193,bathsheba,bb,13.22,-59.52,28,78,40,6.7
194,porto velho,br,-8.75,-63.87,24,94,40,1.5
195,asosa,et,10.07,34.53,18.34,75,100,1.82
196,dong hoi,vn,17.48,106.6,28.9,68,100,2.764
197,sturgeon bay,us,44.83,-87.38,10,81,90,4.88
198,ende,id,-8.84,121.65,25.97,78,0,4.75
199,tuatapere,nz,-46.13,167.69,8.89,67,0,8.05
200,torbay,ca,47.66,-52.73,3.89,69,75,2.6
201,barcelos,br,-0.97,-62.93,22.67,93,27,1.25
202,saint george,bm,32.38,-64.68,25.56,91,0,3.13
203,grants,us,35.15,-107.85,14,54,1,2.6
205,tiksi,ru,71.64,128.87,-6.42,88,99,13.31
207,kasongo-lunda,cd,-6.48,16.82,19.94,91,100,0.36
209,sandpoint,us,48.28,-116.55,7,81,90,2.6
210,constitucion,mx,23.99,-104.67,18.89,59,75,3.6
212,beeville,us,28.4,-97.75,27.78,87,0,1.79
213,tual,id,-5.67,132.75,26.24,82,41,7.93
214,tura,ru,64.27,100.22,3.18,81,100,7.2
215,lashio,mm,22.93,97.75,25.64,69,61,0.42
216,abha,sa,18.22,42.5,17,38,0,3.42
217,kodiak,us,39.95,-94.76,13.33,76,1,4.1
220,seoul,kr,37.57,126.98,22,64,75,1.5
221,san cristobal,ec,-1.02,-79.44,24.14,73,6,1.08
222,paungde,mm,18.49,95.51,27.48,83,31,2.36
223,road town,vg,18.42,-64.62,28,83,20,1.5
224,gushikawa,jp,26.35,127.87,29,62,20,6.7
225,oistins,bb,13.07,-59.53,28,78,40,6.7
226,borogontsy,ru,62.67,131.17,-0.25,51,67,2.889
227,los llanos de aridane,es,28.66,-17.92,23,73,90,6.2
228,nouadhibou,mr,20.93,-17.03,20.27,88,0,11.12
229,kysyl-syr,ru,63.9,122.77,-0.48,85,86,2.222
230,urucara,br,-2.54,-57.76,25.07,72,73,1.03
231,clyde river,ca,70.47,-68.59,-1,86,90,2.6
232,alexandria,us,38.81,-77.05,15,47,1,3.6
235,hirara,jp,24.8,125.28,29,74,40,6.2
237,chengde,cn,40.97,117.93,11.61,26,0,3.3
238,yatou,cn,33.81,104.32,12.33,63,85,1.11
239,ken caryl,us,39.58,-105.11,19,66,1,3.431
240,chernogorsk,ru,53.83,91.31,10,39,0,5
241,hay river,ca,60.82,-115.79,7,100,90,3.6
242,vanderhoof,ca,54.02,-124.02,5.93,72,100,3.62
243,kashi,cn,39.45,75.98,14,54,20,5
244,camacha,pt,33.08,-16.33,23,94,40,4.1
245,banepa,np,27.63,85.52,21,88,40,1.22
246,heerenveen,nl,52.96,5.93,8.89,100,9,1.5
247,watsa,cd,3.04,29.53,17.16,98,100,0.75
248,changji,cn,32.07,116.17,16.11,81,100,7.18
250,san angelo,us,31.46,-100.44,26.67,50,1,2.1
251,fortuna,us,40.6,-124.16,13.33,87,1,4.1
252,cuamba,mz,-14.8,36.54,19.97,80,0,1.4
253,frunze,ua,46.83,29.88,9.43,75,100,2.09
254,pontes e lacerda,br,-15.23,-59.33,23.17,87,91,0.567
255,bremerton,us,38.4,-75.51,16,58,1,4.1
256,victoria,sc,-4.62,55.45,27,83,40,4.6
257,fuerte,ph,17.54,120.36,27.39,77,0,3.05
258,clinton,us,30.87,-91.02,25.56,88,1,4.1
259,sur,om,22.57,59.53,27.89,64,0,5.56
261,port blair,in,11.67,92.75,27.96,66,63,2.08
262,portland,au,-33.35,149.98,19.44,98,6,1.79
263,saint-augustin,ca,45.63,-73.98,5,84,5,1.5
264,aksu,cn,41.12,80.26,17,43,100,1.57
265,tateyama,jp,36.66,137.31,24.44,64,40,1.5
266,kaduna,ng,10.52,7.44,20.38,97,100,0.7
268,yumen,cn,40.29,97.04,9.73,33,100,8.9
269,dzaoudzi,yt,-12.79,45.27,25,88,0,1.5
270,riyadh,sa,24.63,46.72,28,32,0,2.6
272,salekhard,ru,66.54,66.62,0.07,89,17,3.08
273,kyabram,au,-36.31,145.05,25.56,31,98,4.18
274,sao felix do xingu,br,-6.64,-51.99,20.97,96,100,1.34
275,bima,id,-8.45,118.73,35.84,26,0,1.77
276,pisco,pe,-13.71,-76.2,17,82,40,3.1
277,umm kaddadah,sd,13.6,26.69,23.7,67,100,4.91
278,andapa,mg,-14.66,49.65,15.66,94,31,1.36
279,sinnamary,gf,5.38,-52.96,27.42,79,0,5.41
280,hachinohe,jp,40.47,141.48,23,49,75,12.9
281,moose factory,ca,51.26,-80.61,1,100,1,1.5
283,kloulklubed,pw,7.04,134.26,30,74,75,5.7
284,uberaba,br,-19.75,-47.94,27,36,0,4.6
285,lumby,ca,50.25,-118.97,9,87,90,1
287,smidovich,ru,48.6,133.81,9.8,37,0,2.86
289,saskylakh,ru,71.97,114.09,-8.05,89,0,2.27
290,selizharovo,ru,56.86,33.45,2.75,93,98,2.06
291,mumbwa,zm,-14.99,27.06,18.19,74,27,2.602
292,baykit,ru,61.68,96.39,-0.92,82,62,5.54
293,pastavy,by,55.11,26.84,1.91,98,27,2.57
294,diffa,ne,13.32,12.61,29.18,47,97,3.948
295,uarini,br,-2.98,-65.16,22.89,97,100,1.2
296,bagado,co,5.41,-76.42,23.16,97,100,0.92
297,afrikanda,ru,67.44,32.78,-0.16,83,100,6.2
298,olovyannaya,ru,50.94,115.59,10.23,38,0,4.56
299,praia da vitoria,pt,38.73,-27.07,20,94,75,6.8
300,kamennogorsk,ru,60.95,29.13,1.67,92,75,3.6
301,kiruna,se,67.86,20.23,0,75,42,2.6
302,mecca,sa,21.43,39.83,25.08,77,0,1.08
304,narsaq,gl,60.91,-46.05,12,23,100,12.9
305,kenai,us,60.55,-151.26,13,71,40,17
306,beni,cd,0.49,29.47,16.67,99,100,0.63
308,yarkovo,ru,54.81,82.6,7,75,0,2
309,kruisfontein,za,-34,24.73,10.15,88,0,1.06
310,lilongwe,mw,-13.97,33.79,16.8,87,39,2.11
311,mampong,gh,7.06,-1.4,21.09,99,73,1.43
312,mountain home,us,43.13,-115.69,8,61,1,3.2
313,husavik,is,66.04,-17.34,8,52,33,5.1
314,bibiani,gh,6.45,-2.31,21.27,99,46,1
315,kisangani,cd,0.52,25.21,20.85,98,100,0.74
316,broome,au,-17.97,122.23,31,43,85,6.2
317,burnie,au,-41.05,145.91,13.89,64,100,5.36
318,daru,pg,-9.07,143.21,26.55,74,97,5.78
319,coahuayana,mx,18.62,-100.35,22.69,90,67,0.87
320,chegdomyn,ru,51.13,133.04,8.95,32,0,0.866
322,ryotsu,jp,38.08,138.43,23,69,100,2.1
323,conde,br,-11.81,-37.61,20,97,6,1.36
324,veraval,in,20.9,70.37,27.13,75,87,3.38
326,junction city,us,39.03,-96.83,14,87,90,3.1
327,pacific grove,us,36.62,-121.92,17.78,48,1,1.5
328,bajil,ye,15.06,43.29,30.35,68,0,1.31
330,nome,us,30.04,-94.42,26.67,83,40,2.1
331,worland,us,44.02,-107.96,9,86,90,4.91
332,sorsk,ru,54,90.25,4.74,57,100,2.61
333,ekhabi,ru,53.51,142.97,6.78,44,0,1.85
334,beloha,mg,-25.17,45.06,19.04,71,0,1.293
335,ust-maya,ru,60.42,134.54,1.36,51,22,2.22
336,jiuquan,cn,39.73,98.49,8.61,44,100,3.69
339,sarakhs,ir,36.54,61.16,10,22,0,1.294
340,caravelas,br,-17.73,-39.27,23.43,82,100,6.4
341,axim,gh,4.87,-2.24,24.69,88,89,5.98
342,namatanai,pg,-3.66,152.44,29.24,64,48,2.539
343,fort nelson,ca,58.81,-122.69,6,93,90,2.1
344,makakilo city,us,21.35,-158.09,29.44,61,40,4.6
345,tshikapa,cd,-6.42,20.79,20.17,95,100,0.83
346,lakatoro,vu,-16.11,167.42,27,78,99,7.2
347,fairbanks,us,64.84,-147.72,5,86,90,8.7
348,dovolnoye,ru,54.5,79.67,10.84,80,76,5.5
349,mehamn,no,71.03,27.85,2.7,82,100,2.724
350,pochutla,mx,15.74,-96.47,29,70,40,1.26
351,srednekolymsk,ru,67.46,153.71,-1.99,68,100,7.48
352,millau,fr,44.1,3.08,10,100,90,3.6
353,monrovia,lr,6.33,-10.8,24,94,40,1.95
354,malaya serdoba,ru,52.47,44.96,14.2,74,100,9.14
356,vilyuysk,ru,63.75,121.63,0.5,84,100,1.89
358,porto santo,pt,33.07,-16.34,23,94,40,4.1
359,darhan,mn,49.49,105.92,5.67,46,0,3.83
360,tevaitoa,pf,-16.78,-151.5,26.44,78,79,3.44
361,honiara,sb,-9.43,159.96,31,70,20,4.6
362,severo-yeniseyskiy,ru,60.37,93.04,1.38,74,100,5.33
363,alenquer,br,-1.95,-54.74,24,94,0,0.5
364,awjilah,ly,29.14,21.3,20.97,73,0,7.309
366,san rafael,ar,-34.61,-68.33,9.48,30,0,3.159
369,deniliquin,au,-35.53,144.96,28.19,35,97,6.09
371,erechim,br,-27.64,-52.27,20,94,0,3.1
372,raudeberg,no,61.99,5.14,6,75,0,4.1
373,mandalgovi,mn,45.76,106.27,5.93,29,81,5.37
374,iqaluit,ca,63.75,-68.52,1,74,75,6.2
375,antalaha,mg,-14.9,50.28,18.36,98,24,1.78
376,impfondo,cg,1.64,18.07,20.5,96,70,0.43
377,chifeng,cn,42.27,118.96,9.2,31,0,5.06
378,taldan,ru,53.69,124.82,6.31,46,92,1.62
379,stepnyak,kz,52.83,70.79,10.87,72,51,2.36
380,arman,ru,59.7,150.17,-2.55,68,0,0.97
381,bom jesus,br,-9.08,-44.36,24.26,51,17,0.52
382,shache,cn,38.42,77.24,16.83,43,60,5.325
383,havre-saint-pierre,ca,50.23,-63.6,2,74,40,2.1
384,ponta do sol,cv,17.2,-25.09,26,83,40,6.7
386,mayo,ca,63.59,-135.9,4,69,90,1.5
388,vardo,no,70.37,31.11,3.29,84,100,3.52
389,antofagasta,cl,-23.65,-70.4,13,76,90,3.6
390,bilibino,ru,68.06,166.44,-11.77,95,81,2.52
391,gold coast,au,-28,153.41,30.56,64,0,9.8
392,suchil,mx,23.62,-103.92,17.61,54,98,1.95
394,inhambane,mz,-23.87,35.38,21.79,82,0,2.529
395,hongjiang,cn,27.21,109.83,27.17,52,56,2.67
396,santa cruz,cr,10.26,-85.58,26,94,75,1
397,sarkand,kz,45.41,79.91,11.7,40,0,1.5
399,hami,cn,42.84,93.51,16.11,25,100,4.44
400,sao filipe,cv,14.9,-24.5,25.72,81,32,9.35
401,gorokhovets,ru,56.21,42.68,8,93,90,5
402,northport,us,33.23,-87.58,29,54,1,1.5
403,loandjili,cg,-4.77,11.87,25,94,75,3.1
404,mokhsogollokh,ru,61.4,128.95,-0.28,72,94,1.246
406,port hardy,ca,50.7,-127.42,11,93,90,2.1
407,huadian,cn,42.97,126.75,9.08,45,0,2.691
409,biak,id,-0.91,122.88,21.59,87,78,1.64
410,marquette,us,46.54,-87.4,4,86,1,2.6
411,itapecerica da serra,br,-23.72,-46.85,22.22,82,20,2.6
412,biltine,td,14.53,20.93,28.48,56,100,6.02
413,puerto madero,mx,14.72,-92.42,24,100,75,1.99
414,turukhansk,ru,65.8,87.96,1.08,97,100,3.979
415,goundam,ml,16.42,-3.66,32.01,12,0,1.77
416,mehriz,ir,31.58,54.44,18,36,20,2.1
417,ahipara,nz,-35.17,173.16,18.89,80,54,6.46
418,yenotayevka,ru,47.24,47.04,13.84,57,3,5.5
419,price,us,39.6,-110.81,11,23,1,4.1
421,dillon,us,45.22,-112.64,4.44,100,90,3.6
422,oranjemund,na,-28.55,16.43,13.8,88,0,5.77
423,homer,us,59.64,-151.54,11.67,76,90,8.2
424,andenes,no,69.31,16.12,5,80,99,3.6
425,vostok,ru,46.45,135.83,7.78,51,2,2.76
426,suoyarvi,ru,62.08,32.35,-1.01,95,100,4.18
427,pangody,ru,65.85,74.49,0.46,83,19,6.4
428,noumea,nc,-22.28,166.46,27,44,71,7.2
429,padang,id,-0.92,100.36,25.86,86,70,5.61
430,zambezi,zm,-13.55,23.12,19.67,62,0,2.695
431,selma,us,36.57,-119.61,23,34,1,3.6
432,rogaska slatina,si,46.24,15.64,8.33,93,93,1
433,uyuni,bo,-20.46,-66.82,5.17,35,7,0.7
434,mangrol,in,25.33,76.51,26.59,64,11,1.81
435,keti bandar,pk,24.14,67.45,27.62,75,100,4.56
436,cidreira,br,-30.17,-50.22,19.52,97,100,1.46
437,tado,co,5.27,-76.56,22.75,98,100,0.51
438,pangnirtung,ca,66.15,-65.72,-7.28,78,77,2.71
439,fort morgan,us,40.25,-103.8,18,48,1,2.1
440,lagoa,pt,37.14,-8.45,19,68,0,4.1
441,kahului,us,20.89,-156.47,30,58,40,11.3
442,alofi,nu,-19.06,-169.92,25,69,74,7.2
443,harper,lr,4.38,-7.71,24.74,88,99,3.62
444,buala,sb,-8.15,159.59,28.91,68,0,2.21
445,henties bay,na,-22.12,14.28,14.04,89,0,5.58
446,sidhi,in,24.41,81.88,25.95,73,0,1.87
447,cape canaveral,us,28.41,-80.6,28,74,20,4.1
448,ranong,th,9.96,98.62,29,79,40,0.86
449,klaksvik,fo,62.23,-6.59,8,87,46,9.3
450,linxia,cn,35.6,103.21,11.43,68,83,2.98
451,abu dhabi,ae,24.47,54.37,31,52,0,5.7
452,keita,ne,14.76,5.77,28.41,54,91,6.7
453,alekseyevsk,ru,57.84,108.35,5.63,71,63,5.28
454,port keats,au,-14.25,129.55,32.75,41,4,3.98
455,shitkino,ru,56.37,98.35,5.61,85,100,5.725
456,hofn,is,64.25,-15.21,0.75,99,100,8.98
458,knysna,za,-34.04,23.05,11,71,0,2.1
459,madimba,tz,-10.4,40.33,22,94,20,2.6
461,guangyuan,cn,32.43,105.86,15.55,84,100,1.52
462,kutum,sd,14.2,24.66,18.71,83,100,2.15
464,namibe,ao,-15.19,12.15,20.75,80,95,1.95
465,elko,us,40.83,-115.76,6,48,1,1.5
466,kavieng,pg,-2.57,150.8,29.37,66,68,2.876
467,labytnangi,ru,66.66,66.39,-3,93,100,2.06
468,morant bay,jm,17.88,-76.41,28,78,75,3.1
469,genhe,cn,50.78,121.52,7.28,41,28,3.94
470,riohacha,co,11.54,-72.91,25.59,88,100,2.45
471,lubango,ao,-14.92,13.49,17.65,58,73,1.251
472,khovu-aksy,ru,51.13,93.72,4.46,43,53,1.42
473,tautira,pf,-17.73,-149.15,28,69,40,4.1
474,lensk,ru,60.71,114.91,3.55,95,100,3.835
475,ayr,au,-19.58,147.4,25.56,55,13,4.02
476,severo-kurilsk,ru,50.68,156.12,3.05,96,100,9.56
477,northam,au,-31.65,116.67,18,63,90,6.2
478,guiong,ph,6.42,122.03,30,74,75,3.6
480,te anau,nz,-45.41,167.72,6.13,61,84,1.2
481,mahebourg,mu,-20.41,57.7,23.33,94,40,3.1
482,half moon bay,us,37.46,-122.43,18,82,1,6.7
483,chapais,ca,49.78,-74.86,4,86,90,3.1
484,nagato,jp,34.35,131.14,32.22,64,20,3.1
485,mildura,au,-34.18,142.16,31.11,20,100,5.1
486,kirakira,sb,-10.46,161.92,27.81,77,17,2.53
487,wukari,ng,7.87,9.78,22.58,96,100,1.79
488,zheleznodorozhnyy,ru,55.75,38,5,86,0,2
490,kaeo,nz,-35.1,173.78,18.89,80,60,3.5
492,taree,au,-31.91,152.46,21.11,93,90,1
493,lidzbark warminski,pl,54.13,20.58,4.71,92,100,3.71
494,aksarka,ru,66.56,67.8,0.06,87,3,3.59
495,coruripe,br,-10.12,-36.18,19.79,92,0,2.15
496,evensk,ru,61.92,159.24,0.28,39,14,0.726
497,yuzhno-kurilsk,ru,44.03,145.86,14.42,85,100,12.54
498,mizdah,ly,31.45,12.98,13.1,72,0,1.41
499,luwuk,id,-0.95,122.79,21.59,87,78,1.64
500,general roca,ar,-39.03,-67.58,12,46,0,3.6
501,sakaiminato,jp,35.55,133.23,24,57,75,2.1
502,bonavista,ca,48.65,-53.11,3.33,75,90,2.68
503,lugovskoy,ru,56.96,64.53,10,81,100,4
504,toamasina,mg,-18.17,49.38,21,94,40,0.99
505,kota kinabalu,my,5.98,116.07,30,70,75,2.6
506,naze,jp,28.37,129.48,28,61,20,3.6
507,velsk,ru,61.07,42.1,-0.63,96,28,2.25
508,bar harbor,us,44.39,-68.2,6.67,68,1,3.6
509,yinchuan,cn,38.48,106.21,11.96,50,54,2.51
510,nandu,cn,31.44,119.33,21.11,82,90,5
511,longhua,cn,29.21,106.21,21.52,82,96,2.095
512,calama,cl,-22.46,-68.93,11,29,75,5.1
513,jiayuguan,cn,39.77,98.29,8.61,44,100,3.69
514,sawtell,au,-30.38,153.1,22,72,40,7.7
515,sarmanovo,ru,55.25,52.59,15,47,20,9
516,byron bay,au,-28.65,153.62,26,64,85,9.8
517,francisco sa,br,-16.48,-43.49,25,50,0,5.1
518,vereshchagino,ru,58.07,54.67,10.7,79,99,5.27
519,san patricio,mx,19.22,-104.7,29,79,75,2.6
521,kasamwa,tz,-2.84,32.42,19.53,63,34,1.969
522,fallon,us,46.84,-105.12,8.33,87,1,9.8
523,amazar,ru,53.86,120.88,7.82,43,33,2.719
524,champerico,gt,14.3,-91.92,24.44,91,100,2.15
525,leningradskiy,ru,69.38,178.42,3.47,92,100,9.35
526,santiago del estero,ar,-27.8,-64.26,11.48,92,87,2.93
527,texarkana,us,33.44,-94.04,21.67,88,1,2.6
528,dunedin,nz,-45.87,170.5,8.33,72,61,6.71
529,ayorou,ne,14.73,0.92,31.47,39,37,6.43
530,nabire,id,-3.36,135.5,29.75,58,58,1.04
531,anloga,gh,5.79,0.9,25,94,75,3.1
